Name,Word Count,Unique Count,Difficulty Score,Words Learnt with only this book,Words learnt if read twice,Average Sentence Length,Average Clause Length,Uncommon Words
Nehemiae.txt, 7379, 2337, 42945.4397976298, 77, 206, 12.810316139767055, 4.557386051619989, 1536
Malachias.txt, 1220, 585, 35563.534997913994, 10, 28, 10.528455284552846, 5.367424242424242, 276
Exodus.txt, 20209, 5001, 28622.1061833948, 249, 551, 10.677208835341366, 5.310502283105023, 3730
Genesis.txt, 25455, 6105, 25771.73624607707, 329, 667, 9.296740994854202, 5.0914334181509755, 4765
Lucas.txt, 18084, 4715, 29670.865397202542, 199, 448, 9.087711069418386, 5.029466791393826, 3432
2 Thessalonicenses.txt, 751, 388, 60263.83455339786, 6, 22, 15.48, 5.2756410256410255, 177
Nahum.txt, 853, 512, 54741.61477869697, 6, 17, 9.23469387755102, 4.935960591133005, 300
Judith.txt, 6643, 2427, 56238.458885364955, 80, 172, 15.560364464692483, 5.782816229116945, 1584
Deuternomium.txt, 18561, 4690, 36668.692962125475, 221, 438, 13.600421348314606, 5.287385554425229, 3449
1 Paralipomenon.txt, 14401, 3962, 38751.39219953039, 161, 380, 10.792534099066762, 4.400214304848647, 2898
Judae.txt, 442, 302, 94564.88860448652, 2, 6, 15.724137931034482, 4.699029126213592, 164
Jacobus.txt, 1650, 866, 53381.251637477115, 10, 36, 9.005128205128205, 4.924242424242424, 499
Romanos.txt, 6609, 2106, 37058.48864272872, 76, 188, 9.35904255319149, 5.217012726054923, 1376
Isaiae.txt, 24658, 6546, 38933.663690911875, 245, 521, 9.846816479400749, 5.050575514475061, 5240
Jeremiae.txt, 29585, 5788, 29426.231725072485, 348, 641, 11.537241887905605, 5.333333333333333, 4409
Esther.txt, 5978, 2354, 66351.1737971658, 59, 151, 15.029268292682927, 5.3077544426494345, 1620
Josue.txt, 12253, 3328, 38101.74118791266, 156, 339, 12.936299292214358, 5.356393315196269, 2312
Hebraei.txt, 4599, 1954, 62728.97447617802, 36, 117, 10.83668903803132, 5.237623762376238, 1267
2 Regum.txt, 14724, 3814, 27356.275700931918, 192, 389, 10.176853055916775, 5.611818478615736, 2678
Canticum Canticorum.txt, 1844, 874, 44449.15284840189, 18, 49, 7.498069498069498, 4.365079365079365, 573
Marcus.txt, 10312, 3100, 28609.642736015103, 114, 265, 8.645362431800468, 4.912266772528781, 2124
Leviticus.txt, 13810, 3388, 37100.32549681431, 185, 417, 12.77827248441674, 5.0978583196046126, 2509
Ecclesiastes.txt, 3824, 1571, 47913.38526615345, 35, 110, 10.934959349593496, 5.808707124010554, 995
Baruch.txt, 3642, 1445, 50267.831174444735, 39, 99, 13.443262411347519, 5.49527665317139, 848
1 Timotheus.txt, 1591, 850, 75362.31983840324, 11, 29, 11.661971830985916, 4.382926829268293, 532
Amos.txt, 2801, 1119, 42254.53979616578, 22, 80, 10.354166666666666, 5.255627009646302, 664
2 Machabaeorum.txt, 10498, 4152, 104979.74099714575, 90, 254, 15.026425591098748, 5.63147605083089, 3218
Numeri.txt, 19410, 4617, 30674.223153549116, 276, 582, 11.552018192154634, 5.290678169182842, 3353
4 Regum.txt, 16061, 3672, 23183.968333805737, 212, 461, 10.553970223325061, 5.528049866429208, 2485
1 Regum.txt, 18397, 4265, 24443.333755400286, 233, 450, 10.044753086419753, 5.658935160780179, 3006
1 Johannes.txt, 1886, 500, 18454.36123944583, 29, 68, 9.88, 4.965753424657534, 225
1 Petrus.txt, 1661, 875, 68738.53349400438, 12, 36, 11.256410256410257, 5.082446808510638, 522
Michaeas.txt, 2077, 987, 41354.51910884299, 21, 44, 10.60576923076923, 5.2229437229437226, 539
3 Regum.txt, 17323, 4032, 26477.1505268714, 233, 500, 11.482671707624448, 5.64841745081266, 2765
3 Johannes.txt, 211, 154, 56537.3564214846, 0, 2, 9.291666666666666, 4.730769230769231, 72
Proverbia.txt, 10197, 3678, 44482.51945519074, 107, 262, 8.527974783293931, 5.323645970937913, 2824
Galatas.txt, 2130, 937, 43346.964129365224, 22, 60, 9.660944206008583, 4.849609375, 523
